Manhattan Beach,319.3855230968485
Beverly Hills,212.56242030752333
South Pasadena,211.09261346173548
Santa Monica,178.76272235631717
El Mirage,173.93997141495953
East Palo Alto,169.3980233602875
Burlingame,164.04501529617914
Pine Hills,162.5157780195865
Riverdale,159.5273514734959
Patterson,154.52525895568908
Florin,152.75829608962238
Lehigh Acres,152.203403879096
Adelanto,145.93980223390955
Colton,144.6865256752188
Jonesboro,138.4427865580315
West Little River,137.87363372741467
Soledad,135.22955039053994
San Bernardino,133.4277746462159
Caldwell,130.17881025227635
Ceres,128.00107049038317
Hesperia,126.96832075336637
Stockton,125.42739881120862
Rialto,124.66486073487533
East Point,124.49276959433813
Menlo Park,124.29549518446872
Modesto,124.06042254011346
Victorville,123.34502266185861
Nampa,123.33722386457544
Vallejo,122.50706203983042
Desert Hot Springs,121.36261657983054
Imperial Beach,121.12272361844174
Oakley,120.67238245251258
Los Banos,120.27139806144243
Southfield,120.17505216786459
Eastpointe,120.14989848373581
Oak Park,119.90151934065356
San Carlos,119.18001558975872
South Miami Heights,119.09766275292064
Florence-Graham,118.90379087831317
North Las Vegas,118.84332080410512
Avondale,117.9875924194782
Williston,117.92876174449587
Manteca,115.17817294627537
Big Spring,114.96893050199553
Poinciana,114.32885799362079
Mountain View,113.57235537493573
Buckeye,111.84198484079506
Lowell,111.83493854741062
Newark,111.66545976114912
Lake Worth,111.66123235392196
Mesquite,111.40581203399032
Perris,111.2797427652733
Westmont,111.1640410904021
Balch Springs,110.99794238683127
Palmdale,110.43500265396058
South San Francisco,109.64815329127724
Compton,108.7895454331782
Alameda,108.71311411081463
North Miami Beach,108.70352408664728
Port Saint Lucie,108.49968196986993
Hayward,108.04834053736718
Oakland Park,107.82461260056897
Redwood City,107.79397283143884
San Bruno,107.5804119985544
Inglewood,107.50249709521577
Sparks,107.4670373267455
Miami Gardens,106.65572114170246
Wheat Ridge,106.4984384650089
Tracy,106.16327016858878
Daly City,106.09797479678558
Rubidoux,106.09152031800748
Sunnyvale,105.93647988979068
Detroit,105.79133510167993
Lancaster,105.35299770030555
Pasco,105.05669295905346
Redmond,104.68194401536215
Moreno Valley,104.53008402205435
Egypt Lake-Leto,104.49357226334241
Inkster,104.42954975958037
Galt,104.26759110476304
Santa Clara,103.99122800077846
Madison Heights,103.80060169846527
North Miami,103.47925826801759
National City,103.37685134393857
Homestead,103.21726025224083
Coachella,102.77433213324055
Duncanville,102.56152322482292
Chillum,102.18126499327131
Turlock,102.0001718360684
Golden Glades,101.7956561426491
Oakland,101.60610426337975
San Jacinto,101.3004038234771
North Lauderdale,100.74589049011851
Phoenix,100.69112408651904
Redford,100.48502237251084
Forest Park,100.28451992733798
Fort Pierce,100.033431239105
San Mateo,100.03288875204679
Las Vegas,99.81934828003077
Pontiac,99.71821689683185
Banning,99.34308084702532
San Lorenzo,99.34178563693727
Commerce City,99.18177358923782
Sacramento,98.99433939539925
Lake Elsinore,98.84185035446711
Suisun City,98.751863065833
Salinas,98.14149367146553
Margate,98.04713561858738
Carson City,97.91346377494001
Lynwood,97.4071188182828
Palm Bay,97.39695410364364
Boise,97.13900539245057
Ellenwood,96.91794098643118
Greeley,96.91284284059694
Madera,96.865035237976
San Jose,96.67662549075936
Reno,96.22991587495872
Fontana,96.04264254563076
Ontario,95.74295630429629
Culver City,95.58644445217634
Palo Alto,95.46880706256682
Dearborn Heights,95.40093682038699
Kissimmee,95.2695041917357
Apache Junction,95.25637376489244
Foster City,95.24959958591323
Cutler Bay,95.13602347762289
Hialeah,95.07903331156106
Benicia,94.71720832497137
Montclair,94.5899038830563
Walnut Creek,94.24096799884158
Lithia Springs,94.22193426787608
Brighton,94.09665458183562
Elk Grove,94.06589423476932
Lincoln Park,94.04143542748801
Kirkland,93.91591719072395
Milpitas,93.90602908456792
Northglenn,93.63526811527633
Queen Creek,93.6136733267965
Dearborn,93.55155683842044
Paramount,93.31276399155227
Cupertino,93.17814510048666
Menifee,93.12643454879127
Wildomar,92.60233657361991
East Los Angeles,92.56369372731282
Hemet,92.29496684627746
Berkeley,92.06610327769795
Saratoga,91.81099534894159
North Port,91.71600267082127
Deltona,91.5839094289011
Huntington Park,91.55790337635585
Tamarac,91.5511619384121
Saint Clair Shores,91.15182553708179
San Leandro,91.10253227269945
San Tan Valley,91.0880532785302
Mesa,90.9874263606788
Litchfield Park,90.33376123234916
Pleasant Hill,89.95042669921406
Haltom City,89.34909954051523
Sunrise,89.24288709664752
Griffin,89.22429154072569
Citrus Heights,88.84611628779507
Maywood,88.75641306549699
Vacaville,88.55260822404102
Country Club,88.39023845957664
Merced,88.21274247755268
Pomona,88.17384343962362
Surprise,87.90988752461638
Denver,87.61674230963187
San Francisco,87.5408463584433
Pahrump,87.14183251345732
Thornton,87.13014798832822
Grand Rapids,87.11811117043365
Sun City,86.87178833047852
Westland,86.60589486478274
Arvada,86.2833067545466
Richmond West,86.07562194101386
Shoreline,85.86810517072037
Bend,85.86164593761957
Atwater,85.78958295660793
South Gate,85.62041359627756
Highland,85.54221880135633
Oildale,85.39478072369519
Campbell,85.13498308804634
Carmichael,84.64275618962105
Lafayette,84.47051599977769
Greenacres,84.19468730637976
Orlando,84.13059185835246
Westchester,84.0160617002119
Farmers Branch,83.82232863252004
Palm Springs,83.8181601545545
Wyoming,83.81312489408575
Town 'n' Country,83.70670987240804
Seattle,83.69459871833995
Garland,83.66680707666386
Arden-Arcade,83.57161684375085
Goodyear,83.56562742576436
Waterford,82.9476270646585
Bell,82.86926585303274
Cape Coral,82.85322569526888
